asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B07QLZQFXL,PetLike - Tapete Higiênico para Cães - 80x60cm - 30und,https://m.media-amazon.com/images/I/71kkfNW4aCL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07QLZQFXL,4.3,2478,72.51,89.99,Pet Shop,FALSE,1000
B07WRS2BQ5,Tapete Higienico Chalesco 50 Unid. 90 X 60cm,https://m.media-amazon.com/images/I/91p92W4cQjL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07WRS2BQ5,4.7,1652,130.89,0,Pet Shop,FALSE,1000
B07YSTCC7H,Ração Úmida Pedigree Sachê Carne ao Molho para Cães Adultos de Raças Pequenas - Leve 12 Pague 10,https://m.media-amazon.com/images/I/61O0d4bO6eL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07YSTCC7H,4.9,270,32.9,0,Pet Shop,FALSE,1000
B07WV6C6TM,"Tapete Higiênico Good Pad para Cães, Good Pet, 60cmx60cm, 50 Unidades, Embalagem Pode Variar",https://m.media-amazon.com/images/I/71PZNnw05LL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07WV6C6TM,4.2,2895,69.43,0,Pet Shop,FALSE,1000
B07XQ6SFJ6,"Dreamies - Petisco Para Gatos, Carne, Adultos, 40g",https://m.media-amazon.com/images/I/81-GaXQYmkL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XQ6SFJ6,4.9,1578,5.98,0,Pet Shop,TRUE,300
B07Y2CRBBK,"Scalibor Coleira Antiparasitária 65cm para Cães Scalibor para Cães, 65 cm,",https://m.media-amazon.com/images/I/91wpMnJfA6L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07Y2CRBBK,4.6,5108,85.42,93.9,Pet Shop,TRUE,1000
B07Y2DB46G,Coleira Seresto® anti-carrapatos e pulgas para cães acima de 8kg,https://m.media-amazon.com/images/I/516iMKqlY2L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07Y2DB46G,4.7,3210,161.44,272.5,Pet Shop,FALSE,1000
B07XZDZWTG,"NexGard Antipulgas e Carrapatos para Cães de 4,1 a 10kg, 1 tablete",https://m.media-amazon.com/images/I/71SCXcx21qL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XZDZWTG,4.8,4854,76.22,95.5,Pet Shop,FALSE,1000
B08NPFKH43,Grade De Proteção para Pet Cães Para Portas Portão até 80cm,https://m.media-amazon.com/images/I/41CQcNiqMYL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B08NPFKH43,3.9,1903,68,79.9,Pet Shop,TRUE,1000
B07XVX68KY,"Tapete Higiênico Tico Pads, 30 Unidades",https://m.media-amazon.com/images/I/51gd3ZWhHUL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XVX68KY,4.4,3389,59.9,69.9,Pet Shop,FALSE,1000
B099J4MM8F,Shampoo Antibacteriano Agener União Dr.Clean Cloresten 500 ML,https://m.media-amazon.com/images/I/41BPwHmipvL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B099J4MM8F,4.8,2547,103.9,173.9,Pet Shop,TRUE,1000
B08KQLP1PR,Tapete Higiênico Cafuné Slim 30 unidades,https://m.media-amazon.com/images/I/6196G0sPs7L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B08KQLP1PR,4.3,1017,74.77,97.97,Pet Shop,FALSE,1000
B07PZWDZT9,PetLike - Tapete Higiênico com Aroma de Lavanda para Cães Ultra Pads - 80x60cm - 30 und,https://m.media-amazon.com/images/I/61hd-h8sWQL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07PZWDZT9,4.4,4922,71.42,89.99,Pet Shop,FALSE,1000
B07NGRY9V1,"Simparic 20Mg, 5,1 Até 10Kg, 1Cp Zoetis Para Cães",https://m.media-amazon.com/images/I/51-W5sp2fIL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07NGRY9V1,4.8,4871,79.55,0,Pet Shop,FALSE,1000
B07NDM8PPQ,"Apoquel 3,6Mg - 20Compr Zoetis Para Cães",https://m.media-amazon.com/images/I/71f7j4jvHTL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07NDM8PPQ,4.7,4285,183.9,0,Pet Shop,TRUE,1000
B07V9W6N8P,"NexGard Antipulgas e Carrapatos para Cães de 25,1 a 50kg, 3 tabletes",https://m.media-amazon.com/images/I/71p142qWDpL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07V9W6N8P,4.8,2796,224.9,348,Pet Shop,FALSE,1000
B07MZZMXPC,"NexGard Antipulgas e Carrapatos para Cães de 10,1 a 25kg, 1 tablete",https://m.media-amazon.com/images/I/714QJI0d3qL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07MZZMXPC,4.8,3582,87.56,115.5,Pet Shop,FALSE,1000
B08BT54MVK,"GranPlus Choice - Ração para Gatos Adultos Frango e Carne, 10,1 kg",https://m.media-amazon.com/images/I/61HV7y7W8tL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B08BT54MVK,4.8,2138,147.9,0,Pet Shop,FALSE,1000
B0781G4L68,"Toalhas Umedecidas Pet 50 Unidades com Tampa Flip Top, FeelClean",https://m.media-amazon.com/images/I/61P7WFz5esL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0781G4L68,4.8,287,7.9,0,Pet Shop,TRUE,1000
B07XVXRHGB,"Tapete Higiênico Big Pads 30 Unidades Big Pads para Cães, 30 Unidades",https://m.media-amazon.com/images/I/510KgHPnz+L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XVXRHGB,4.6,320,64.8,89.9,Pet Shop,FALSE,200
B07PTB9JFX,Tapete Higiênico Mega Seco 65x60cm c/ 30 unidades,https://m.media-amazon.com/images/I/81vD6zbZRTL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07PTB9JFX,4.6,1723,59.9,68.9,Pet Shop,FALSE,1000
B0977TL866,"NexGard Spectra Antipulgas e Carrapatos e Vermífugo para Cães de 2 a 3,5kg",https://m.media-amazon.com/images/I/71aHrQhv4PS._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0977TL866,4.8,978,56.9,92,Pet Shop,FALSE,1000
B07NH1N9L6,"Simparic 80mg, 20,1 até 40kg, 03 Compr Zoetis para Cães",https://m.media-amazon.com/images/I/61atsVYkoDL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07NH1N9L6,4.8,3013,247.79,285,Pet Shop,FALSE,1000
B007RQ77I8,Kit 2un Tapete Higiênico Good Pad 60x60 C/50 Unidades,https://m.media-amazon.com/images/I/610FCzVzYgL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B007RQ77I8,4.3,315,130.99,0,Pet Shop,FALSE,800
B0977TDYVS,"NexGard Spectra Antipulgas e Carrapatos e Vermífugo para Cães de 3,6 a 7,5kg",https://m.media-amazon.com/images/I/71U7FIWx4US._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0977TDYVS,4.8,2708,81.9,103.99,Pet Shop,FALSE,1000
B0977TBDC7,"NexGard Spectra Antipulgas e Carrapatos e Vermífugo para Cães de 15,1 a 30kg",https://m.media-amazon.com/images/I/71f+IhKATsS._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0977TBDC7,4.8,2261,115.85,142.99,Pet Shop,FALSE,1000
B09LR4BX8B,Bomba Submersa Bombinha Motor Para Aquário Fonte Água Bebedouro Pet 220l/h Bivolt,https://m.media-amazon.com/images/I/613fgKDbPZL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B09LR4BX8B,4.5,1109,24,36.9,Pet Shop,TRUE,0
B084T6KCT4,Pipicat Granulado Sanitario Campestre,https://m.media-amazon.com/images/I/81Dt-LdLywL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B084T6KCT4,4.7,1167,20.9,0,Pet Shop,FALSE,800
B0977SH2WT,"NexGard Spectra Antipulgas e Carrapatos e Vermífugo para Cães de 30,1 a 60kg",https://m.media-amazon.com/images/I/717BRcFD4YS._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0977SH2WT,4.8,1635,123.01,166,Pet Shop,FALSE,1000
